id	author	book_title	publisher	Genre
1	Henry Josefovic	Being There	Hachette	Languages
2	Grete Fealey	Kaboom	Simon & Schuster	Languages
3	Melonie Rollings	Beyond Therapy	Penguin	Psychology
4	Aila Truran	Roman Holiday	Hachette	Thriller
5	Sherwood MacSkeagan	Happy Feet Two	Hachette	Thriller
6	Millie Jones	"Cat o' Nine Tails, The (Gatto a nove code, Il)"	Penguin	Romancs
7	Archibold Attewill	We Are Marshall	Simon & Schuster	Self-help
8	Kassi Aldcorne	Zodiac	Harper Collins	Psychology
9	Lonnie Hagyard	The Fearless Four	Harper Collins	Science
10	Valentia Ing	Angel Dog	Harper Collins	Self-help
11	Aylmer Binning	Lucky Them	Penguin	Science
12	Olivier Simkovitz	Power 98	MacMillan	Science
13	Saloma Dupree	Barbarian Queen	Penguin	Languages
14	Sherman Broschek	"Little Princess, A"	MacMillan	Languages
15	Kimbra Granger	Ninja Cheerleaders	MacMillan	Psychology
16	Gorden Kirby	Sinbad of the Seven Seas	Hachette	Thriller
17	Teodoor Tresvina	Farmer & Chase	Simon & Schuster	Science
18	Quinn Fleetham	"Foul King, The (Banchikwang)"	Harper Collins	Languages
19	Aristotle Macer	Spartan	Penguin	Science
20	Maryanne Schulke	River's Edge	Harper Collins	Thriller
21	Lindon Swatman	"Grand Amour, Le"	Simon & Schuster	Psychology
22	Ciel Whitwood	Gentlemen Broncos	Simon & Schuster	Thriller
23	Darb Cantrell	Paranoia	MacMillan	Romancs
24	Livia Renackowna	Negative Happy Chainsaw Edge (Negatibu happî chênsô ejji)	Hachette	Romancs
25	Jeramie McKeighan	From Prada to Nada	Penguin	Self-help
26	Shanna Bagge	"Whale, The"	Penguin	Thriller
27	Caro Towndrow	Rocket Singh: Salesman of the Year	Hachette	Science
28	Elsi Marron	"Sleep, My Love"	Harper Collins	Self-help
29	Lucretia Milthorpe	"Dirties, The"	Hachette	Psychology
30	Dorena Morford	First a Girl	MacMillan	Psychology
31	Elisha Gaish	"Canal, The"	Harper Collins	Science
32	Agretha Alsopp	Meltdown (Shu dan long wei)	Hachette	Romancs
33	Fara Gonning	His New Profession	Penguin	Science
34	Walther Cluney	Talladega Nights: The Ballad of Ricky Bobby	Penguin	Science
35	Spencer Lenin	"Battle of Shaker Heights, The"	Hachette	Thriller
36	Nert Shave	"Mother's Courage: Talking Back to Autism, A"	Penguin	Science
37	Janot Fibbitts	Cosmos	Hachette	Languages
38	Manon Drewet	Good Copy Bad Copy	Penguin	Thriller
39	Bernetta Paynton	Dead Rising: Watchtower	Penguin	Thriller
40	Addie Jordeson	"Dolly Sisters, The"	Simon & Schuster	Languages
41	Dane Fotherby	"Bingo Long Traveling All-Stars & Motor Kings, The"	MacMillan	Romancs
42	Urban Cornes	Blindsight	MacMillan	Romancs
43	Deina Corrado	Cloudburst	Harper Collins	Thriller
44	Judye McKinty	"Jane Austen Book Club, The"	Simon & Schuster	Science
45	Eirena Rayman	"Music Man, The"	Simon & Schuster	Psychology
46	Chauncey Coate	George Harrison: Living in the Material World	MacMillan	Romancs
47	Henrik Struys	Unknown White Male	MacMillan	Languages
48	Lynne Sarjant	"Where Angels Go, Trouble Follows"	Penguin	Science
49	Pierre Tolotti	Visitor Q (Bizita Q)	Simon & Schuster	Romancs
50	Inna Heynen	Twice in a Lifetime	Harper Collins	Thriller
51	Janessa Robet	Love and Other Drugs	MacMillan	Science
52	Virginie Ruskin	Blood into Wine	Harper Collins	Science
53	Lewes Harbison	"Girl Said No, The"	Simon & Schuster	Self-help
54	Bar Saye	Thief of Damascus	Harper Collins	Psychology
55	Jemima Mathias	Beauty Is Embarrassing	Simon & Schuster	Thriller
56	Chloette Collard	"Thing with Two Heads, The"	Hachette	Psychology
57	Nerti Cotmore	Cows (Vacas)	Harper Collins	Romancs
58	Jodee Fullman	Children of the Corn III	Penguin	Languages
59	Werner Beardsell	Ruby & Quentin (Tais-toi!)	Harper Collins	Psychology
60	Theobald McInnery	Come Back to Me	Harper Collins	Romancs
61	Bernette Lydiate	"Color of Friendship, The"	Penguin	Thriller
62	Jard Bruff	"Hobbit: The Desolation of Smaug, The"	Penguin	Languages
63	Louis Gronauer	Welcome to the Jungle	Penguin	Thriller
64	Becca Bownd	"Inheritance, The (Karami-ai)"	Hachette	Self-help
65	Roselle Strangward	Creature	Penguin	Science
66	Hedy Maddern	Patriotism (Yûkoku)	MacMillan	Romancs
67	Vincenz Moores	Zathura	Hachette	Science
68	Walton Heliet	"Palm Beach Story, The"	Penguin	Languages
69	Karon McCurley	"Grave Decisions (Wer früher stirbt, ist länger tot)"	Harper Collins	Romancs
70	Teddy Hold	The War	Penguin	Psychology
71	Dixie Wilcock	Anne of Green Gables	MacMillan	Psychology
72	Nanny Ringrose	Catwalk	Harper Collins	Thriller
73	Rachelle Trubshaw	Drawing Restraint 9	Hachette	Romancs
74	Sayers Shoubridge	"If I Want to Whistle, I Whistle (Eu cand vreau sa fluier, fluier)"	MacMillan	Psychology
75	Rosabelle Musico	Gate of Flesh (Nikutai no mon)	Penguin	Romancs
76	Toni Gifkins	Diplomatic Siege	Simon & Schuster	Romancs
77	Bernetta Connelly	Richard Pryor Live on the Sunset Strip	Simon & Schuster	Languages
78	Bradly Fritschel	"Silent Night, Deadly Night III: Better Watch Out!"	Penguin	Psychology
79	Kaela Caldaro	Beaches	Simon & Schuster	Languages
80	Kevon Frankham	Anchors Aweigh	MacMillan	Thriller
81	Burt Crippell	Lower City (Cidade Baixa)	Hachette	Self-help
82	Hildegarde Henryson	"Study in Scarlet, A"	Penguin	Psychology
83	Roi Churchin	"Captain Thunder (Capitán Trueno y el Santo Grial, El) (Prince Killian and the Holy Grail)"	Simon & Schuster	Science
84	Shani Reveland	"Bohème, La"	MacMillan	Science
85	Claudianus Benninger	"Girl from Monday, The"	Hachette	Psychology
86	Stephanie Muris	Dug's Special Mission	Penguin	Science
87	Corie Cawood	Patrick	Simon & Schuster	Thriller
88	Ilise Geleman	Johnny Express	Hachette	Science
89	Rubin Tattoo	Message in a Bottle	Hachette	Languages
90	Bondy Stormes	"Duck, You Sucker (a.k.a. Fistful of Dynamite, A) (Giù la testa)"	Simon & Schuster	Science
91	Hadrian Solesbury	Private Detective 62	Simon & Schuster	Psychology
92	Myrwyn Tegler	Drive-In Horrorshow	Harper Collins	Languages
93	Lincoln Hindmore	Very Bad Things	Harper Collins	Psychology
94	Mirella Gartin	Double Jeopardy	Penguin	Psychology
95	Lewes Hixley	Vääpeli Körmy ja marsalkan sauva	Hachette	Languages
96	Uriah Diplock	Live Free or Die	Penguin	Psychology
97	Conway Woollcott	Little White Lies (Les petits mouchoirs)	MacMillan	Thriller
98	Merle Bernardinelli	Série noire	Penguin	Psychology
99	Dud Bremner	"Nude Bomb, The"	Hachette	Science
100	Katha Donnelly	Spring Break Shark Attack	Penguin	Psychology
101	Slade Moynihan	"Wild Child, The (Enfant sauvage, L')"	Hachette	Languages
102	Nara MacColm	Reprise	Penguin	Science
103	Caritta Esposito	Scratch	Penguin	Science
104	Guthrie Zylbermann	Mail Order Bride	Penguin	Psychology
105	Dudley Riste	Toomorrow	Harper Collins	Languages
106	Fred Falshaw	Angels in the Outfield	MacMillan	Science
107	Bobby Nisco	Puppet Master: The Legacy (Puppet Master 8)	Simon & Schuster	Self-help
108	Grissel Probert	All That... for This?!	Penguin	Self-help
109	Gerhard Farlambe	"5th Musketeer, The (a.k.a. Fifth Musketeer, The)"	Simon & Schuster	Science
